# Image list with two lines of data per image:
# IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
# POINTS2D[] as (X, Y, POINT3D_ID)
134 0.763950 0.003802 0.645264 -0.000997 -0.008557 -0.009670 3.403854 1 images0134.ToneMapper.dst.1.RGBA.png

135 0.750234 0.003822 0.661160 -0.001122 -0.008643 -0.009518 3.404780 1 images0135.ToneMapper.dst.1.RGBA.png

136 0.735743 0.002817 0.677252 -0.001667 -0.008228 -0.008913 3.407094 1 images0136.ToneMapper.dst.1.RGBA.png

137 0.721506 0.003308 0.692398 -0.001694 -0.008364 -0.009536 3.408178 1 images0137.ToneMapper.dst.1.RGBA.png

138 0.706563 0.003104 0.707642 -0.001564 -0.007764 -0.009724 3.410880 1 images0138.ToneMapper.dst.1.RGBA.png

139 0.691489 0.003104 0.722378 -0.001540 -0.007216 -0.010066 3.412085 1 images0139.ToneMapper.dst.1.RGBA.png

140 0.676299 0.003180 0.736618 -0.001651 -0.007437 -0.009642 3.409779 1 images0140.ToneMapper.dst.1.RGBA.png

141 0.660837 0.003142 0.750522 -0.001414 -0.007104 -0.009945 3.410619 1 images0141.ToneMapper.dst.1.RGBA.png

142 0.644653 0.003166 0.764466 -0.001945 -0.005825 -0.009378 3.410755 1 images0142.ToneMapper.dst.1.RGBA.png

143 0.628705 0.003185 0.777636 -0.001673 -0.006255 -0.009812 3.411704 1 images0143.ToneMapper.dst.1.RGBA.png

144 0.612147 0.002854 0.790735 -0.002353 -0.005586 -0.008899 3.411467 1 images0144.ToneMapper.dst.1.RGBA.png

145 0.595575 0.002947 0.803290 -0.002517 -0.005223 -0.008376 3.409832 1 images0145.ToneMapper.dst.1.RGBA.png

146 0.578577 0.002761 0.815620 -0.002305 -0.004837 -0.008540 3.410857 1 images0146.ToneMapper.dst.1.RGBA.png

147 0.561129 0.002793 0.827722 -0.001821 -0.003882 -0.009329 3.413164 1 images0147.ToneMapper.dst.1.RGBA.png

148 0.543558 0.002828 0.839365 -0.001648 -0.003618 -0.009293 3.412727 1 images0148.ToneMapper.dst.1.RGBA.png

149 0.525931 0.002913 0.850520 -0.001929 -0.002977 -0.009319 3.411590 1 images0149.ToneMapper.dst.1.RGBA.png

150 0.507994 0.002863 0.861352 -0.002432 -0.002726 -0.008632 3.412031 1 images0150.ToneMapper.dst.1.RGBA.png

151 0.489858 0.002594 0.871795 -0.002421 -0.002162 -0.008552 3.413009 1 images0151.ToneMapper.dst.1.RGBA.png

152 0.471518 0.002541 0.881850 -0.002369 -0.001603 -0.008531 3.412880 1 images0152.ToneMapper.dst.1.RGBA.png

153 0.452949 0.002475 0.891529 -0.002615 -0.001149 -0.008484 3.412775 1 images0153.ToneMapper.dst.1.RGBA.png

154 0.434808 0.002430 0.900517 -0.002319 -0.001040 -0.008495 3.411344 1 images0154.ToneMapper.dst.1.RGBA.png

155 0.415461 0.002433 0.909604 -0.002570 -0.000609 -0.008187 3.410421 1 images0155.ToneMapper.dst.1.RGBA.png

156 0.396268 0.002465 0.918130 -0.001847 0.000047 -0.008857 3.410742 1 images0156.ToneMapper.dst.1.RGBA.png

157 0.377270 0.002162 0.926096 -0.003051 0.000123 -0.007880 3.410513 1 images0157.ToneMapper.dst.1.RGBA.png

158 0.357449 0.002188 0.933926 -0.002689 0.001019 -0.007806 3.409601 1 images0158.ToneMapper.dst.1.RGBA.png

159 0.338057 0.002187 0.941118 -0.003033 0.001504 -0.007731 3.409608 1 images0159.ToneMapper.dst.1.RGBA.png

160 0.318197 0.002122 0.948017 -0.003241 0.002303 -0.007051 3.408726 1 images0160.ToneMapper.dst.1.RGBA.png

161 0.298688 0.002377 0.954342 -0.003332 0.002703 -0.007156 3.408738 1 images0161.ToneMapper.dst.1.RGBA.png

162 0.279096 0.002298 0.960251 -0.004335 0.003251 -0.006346 3.407913 1 images0162.ToneMapper.dst.1.RGBA.png

163 0.259499 0.002287 0.965730 -0.004588 0.003668 -0.006008 3.407580 1 images0163.ToneMapper.dst.1.RGBA.png

164 0.238590 0.001999 0.971108 -0.004445 0.004432 -0.006042 3.408031 1 images0164.ToneMapper.dst.1.RGBA.png

165 0.218079 0.001891 0.975918 -0.004620 0.005178 -0.005805 3.408094 1 images0165.ToneMapper.dst.1.RGBA.png

166 0.197364 0.001915 0.980318 -0.004535 0.005831 -0.005889 3.407290 1 images0166.ToneMapper.dst.1.RGBA.png

167 0.177188 0.001910 0.984164 -0.004639 0.006434 -0.005659 3.406771 1 images0167.ToneMapper.dst.1.RGBA.png

168 0.156565 0.001889 0.987657 -0.004237 0.006889 -0.005852 3.405683 1 images0168.ToneMapper.dst.1.RGBA.png

169 0.135926 0.001716 0.990706 -0.004873 0.007803 -0.005094 3.403720 1 images0169.ToneMapper.dst.1.RGBA.png

170 0.115431 0.001855 0.993302 -0.004742 0.008738 -0.005358 3.403504 1 images0170.ToneMapper.dst.1.RGBA.png

171 0.094427 0.001846 0.995517 -0.005137 0.009451 -0.004546 3.400497 1 images0171.ToneMapper.dst.1.RGBA.png

172 0.073422 0.001892 0.997287 -0.004929 0.010152 -0.004527 3.400911 1 images0172.ToneMapper.dst.1.RGBA.png

173 0.052698 0.001812 0.998594 -0.005456 0.010640 -0.004043 3.398855 1 images0173.ToneMapper.dst.1.RGBA.png

174 0.032346 0.001749 0.999459 -0.005606 0.011111 -0.003733 3.398361 1 images0174.ToneMapper.dst.1.RGBA.png

175 0.011235 0.001715 0.999918 -0.005834 0.011698 -0.003494 3.397275 1 images0175.ToneMapper.dst.1.RGBA.png

176 -0.009597 0.001486 0.999934 -0.006153 0.011902 -0.003449 3.395408 1 images0176.ToneMapper.dst.1.RGBA.png

177 -0.030261 0.001775 0.999525 -0.005520 0.012319 -0.003220 3.393901 1 images0177.ToneMapper.dst.1.RGBA.png

178 -0.051345 0.001620 0.998662 -0.005890 0.012496 -0.002645 3.393510 1 images0178.ToneMapper.dst.1.RGBA.png

179 -0.072098 0.001688 0.997381 -0.005481 0.012844 -0.003012 3.392942 1 images0179.ToneMapper.dst.1.RGBA.png

